Repository name,Repository owner,Popularity - Stars,Total releases,Repository age (days)
nb-resource-hyperlink-at-cursor,markiewb,{'totalCount': 6},10,3834
anitomyJ,Vorror,{'totalCount': 6},2,2778
TodoistMimeUtils,Doist,{'totalCount': 3},0,3653
Test-Case-Checker-CMPSC470,SageTheWizard,{'totalCount': 7},0,1573
WindowsWrapper,jalios,{'totalCount': 2},0,3118
jsimpleutils,gissolutions,{'totalCount': 2},0,4601
aco-hybrid-for-tsp,shahirtaj,{'totalCount': 2},0,669
Red-C-SDK,PhongPham101190,{'totalCount': 12},0,3023
icedeploy,iceroot,{'totalCount': 2},0,2276
graph-real-time-problems,fazeelkhalid,{'totalCount': 7},0,1049
Parallel-Programming-Project-2,Songrui9269,{'totalCount': 2},0,2103
Linux-,SmileShow-DH,{'totalCount': 13},0,3309
hello-world.,madhura481,{'totalCount': 2},0,1402
OK-,hiteshsuthar01,{'totalCount': 12},0,700
JavaScript-Problems,AiturganOrozmamatova,{'totalCount': 2},0,1976
