file,class,method,variable,usage
C:\Codes\lab02-experimentacao-grupo04\..\lab02-experimentacao-grupo04\nb-resource-hyperlink-at-cursor\src\main\java\de\markiewb\netbeans\plugins\resourcehyperlink\ResultTO.java,de.markiewb.netbeans.plugins.resourcehyperlink.ResultTO,isValid/0,foundFiles,1
C:\Codes\lab02-experimentacao-grupo04\..\lab02-experimentacao-grupo04\nb-resource-hyperlink-at-cursor\src\main\java\de\markiewb\netbeans\plugins\resourcehyperlink\ResultTO.java,de.markiewb.netbeans.plugins.resourcehyperlink.ResultTO,"create/4[int,int,java.lang.String,java.util.Collection<de.markiewb.netbeans.plugins.resourcehyperlink.FileObject>]",foundFiles,2
C:\Codes\lab02-experimentacao-grupo04\..\lab02-experimentacao-grupo04\nb-resource-hyperlink-at-cursor\src\main\java\de\markiewb\netbeans\plugins\resourcehyperlink\ResultTO.java,de.markiewb.netbeans.plugins.resourcehyperlink.ResultTO,"create/4[int,int,java.lang.String,java.util.Collection<de.markiewb.netbeans.plugins.resourcehyperlink.FileObject>]",linkTarget,2
C:\Codes\lab02-experimentacao-grupo04\..\lab02-experimentacao-grupo04\nb-resource-hyperlink-at-cursor\src\main\java\de\markiewb\netbeans\plugins\resourcehyperlink\ResultTO.java,de.markiewb.netbeans.plugins.resourcehyperlink.ResultTO,"ResultTO/4[int,int,java.lang.String,java.util.Collection<de.markiewb.netbeans.plugins.resourcehyperlink.FileObject>]",foundFiles,3
C:\Codes\lab02-experimentacao-grupo04\..\lab02-experimentacao-grupo04\nb-resource-hyperlink-at-cursor\src\main\java\de\markiewb\netbeans\plugins\resourcehyperlink\ResultTO.java,de.markiewb.netbeans.plugins.resourcehyperlink.ResultTO,"ResultTO/4[int,int,java.lang.String,java.util.Collection<de.markiewb.netbeans.plugins.resourcehyperlink.FileObject>]",startOffsetInLiteral,1
C:\Codes\lab02-experimentacao-grupo04\..\lab02-experimentacao-grupo04\nb-resource-hyperlink-at-cursor\src\main\java\de\markiewb\netbeans\plugins\resourcehyperlink\ResultTO.java,de.markiewb.netbeans.plugins.resourcehyperlink.ResultTO,"ResultTO/4[int,int,java.lang.String,java.util.Collection<de.markiewb.netbeans.plugins.resourcehyperlink.FileObject>]",linkTarget,3
C:\Codes\lab02-experimentacao-grupo04\..\lab02-experimentacao-grupo04\nb-resource-hyperlink-at-cursor\src\main\java\de\markiewb\netbeans\plugins\resourcehyperlink\ResultTO.java,de.markiewb.netbeans.plugins.resourcehyperlink.ResultTO,"ResultTO/4[int,int,java.lang.String,java.util.Collection<de.markiewb.netbeans.plugins.resourcehyperlink.FileObject>]",endOffsetInLiteral,1
C:\Codes\lab02-experimentacao-grupo04\..\lab02-experimentacao-grupo04\nb-resource-hyperlink-at-cursor\src\main\java\de\markiewb\netbeans\plugins\resourcehyperlink\options\ConfigPanel.java,de.markiewb.netbeans.plugins.resourcehyperlink.options.ConfigPanel,initComponents/0,cbPartialMatch,4
C:\Codes\lab02-experimentacao-grupo04\..\lab02-experimentacao-grupo04\nb-resource-hyperlink-at-cursor\src\main\java\de\markiewb\netbeans\plugins\resourcehyperlink\options\ConfigPanel.java,de.markiewb.netbeans.plugins.resourcehyperlink.options.ConfigPanel,initComponents/0,jLabel1,4
C:\Codes\lab02-experimentacao-grupo04\..\lab02-experimentacao-grupo04\nb-resource-hyperlink-at-cursor\src\main\java\de\markiewb\netbeans\plugins\resourcehyperlink\options\ConfigPanel.java,de.markiewb.netbeans.plugins.resourcehyperlink.options.ConfigPanel,load/0,PARTIAL_MATCHING,1
C:\Codes\lab02-experimentacao-grupo04\..\lab02-experimentacao-grupo04\nb-resource-hyperlink-at-cursor\src\main\java\de\markiewb\netbeans\plugins\resourcehyperlink\options\ConfigPanel.java,de.markiewb.netbeans.plugins.resourcehyperlink.options.ConfigPanel,load/0,PARTIAL_MATCHING_DEFAULT,1
C:\Codes\lab02-experimentacao-grupo04\..\lab02-experimentacao-grupo04\nb-resource-hyperlink-at-cursor\src\main\java\de\markiewb\netbeans\plugins\resourcehyperlink\options\ConfigPanel.java,de.markiewb.netbeans.plugins.resourcehyperlink.options.ConfigPanel,load/0,cbPartialMatch,1
C:\Codes\lab02-experimentacao-grupo04\..\lab02-experimentacao-grupo04\nb-resource-hyperlink-at-cursor\src\main\java\de\markiewb\netbeans\plugins\resourcehyperlink\options\ConfigPanel.java,de.markiewb.netbeans.plugins.resourcehyperlink.options.ConfigPanel,store/0,PARTIAL_MATCHING,2
C:\Codes\lab02-experimentacao-grupo04\..\lab02-experimentacao-grupo04\nb-resource-hyperlink-at-cursor\src\main\java\de\markiewb\netbeans\plugins\resourcehyperlink\options\ConfigPanel.java,de.markiewb.netbeans.plugins.resourcehyperlink.options.ConfigPanel,store/0,PARTIAL_MATCHING_DEFAULT,1
C:\Codes\lab02-experimentacao-grupo04\..\lab02-experimentacao-grupo04\nb-resource-hyperlink-at-cursor\src\main\java\de\markiewb\netbeans\plugins\resourcehyperlink\options\ConfigPanel.java,de.markiewb.netbeans.plugins.resourcehyperlink.options.ConfigPanel,store/0,cbPartialMatch,2
C:\Codes\lab02-experimentacao-grupo04\..\lab02-experimentacao-grupo04\nb-resource-hyperlink-at-cursor\src\main\java\de\markiewb\netbeans\plugins\resourcehyperlink\options\ConfigPanel.java,de.markiewb.netbeans.plugins.resourcehyperlink.options.ConfigPanel,ConfigPanel/1[de.markiewb.netbeans.plugins.resourcehyperlink.options.ConfigOptionsPanelController],controller,3
C:\Codes\lab02-experimentacao-grupo04\..\lab02-experimentacao-grupo04\nb-resource-hyperlink-at-cursor\src\main\java\de\markiewb\netbeans\plugins\resourcehyperlink\options\ConfigPanel.java,de.markiewb.netbeans.plugins.resourcehyperlink.options.ConfigPanel,ConfigPanel/1[de.markiewb.netbeans.plugins.resourcehyperlink.options.ConfigOptionsPanelController],cbPartialMatch,1
C:\Codes\lab02-experimentacao-grupo04\..\lab02-experimentacao-grupo04\nb-resource-hyperlink-at-cursor\src\main\java\de\markiewb\netbeans\plugins\resourcehyperlink\ResourceHyperlinkProvider.java,de.markiewb.netbeans.plugins.resourcehyperlink.ResourceHyperlinkProvider,"updateCacheIfNecessary/2[javax.swing.text.Document,int]",LOG,1
C:\Codes\lab02-experimentacao-grupo04\..\lab02-experimentacao-grupo04\nb-resource-hyperlink-at-cursor\src\main\java\de\markiewb\netbeans\plugins\resourcehyperlink\ResourceHyperlinkProvider.java,de.markiewb.netbeans.plugins.resourcehyperlink.ResourceHyperlinkProvider,"updateCacheIfNecessary/2[javax.swing.text.Document,int]",EXPIRE_CACHE_IN_SECONDS,1
