file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Codes\lab02-experimentacao-grupo04\..\lab02-experimentacao-grupo04\nb-resource-hyperlink-at-cursor\src\main\java\de\markiewb\netbeans\plugins\resourcehyperlink\options\ConfigOptionsPanelController.java,de.markiewb.netbeans.plugins.resourcehyperlink.options.ConfigOptionsPanelController$Anonymous1,run/0,false,47,2,2,0,2,1,2,4,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
C:\Codes\lab02-experimentacao-grupo04\..\lab02-experimentacao-grupo04\nb-resource-hyperlink-at-cursor\src\main\java\de\markiewb\netbeans\plugins\resourcehyperlink\ResultTO.java,de.markiewb.netbeans.plugins.resourcehyperlink.ResultTO,isValid/0,false,50,0,4,4,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,false
C:\Codes\lab02-experimentacao-grupo04\..\lab02-experimentacao-grupo04\nb-resource-hyperlink-at-cursor\src\main\java\de\markiewb\netbeans\plugins\resourcehyperlink\ResultTO.java,de.markiewb.netbeans.plugins.resourcehyperlink.ResultTO,"create/4[int,int,java.lang.String,java.util.Collection<de.markiewb.netbeans.plugins.resourcehyperlink.FileObject>]",false,35,2,2,1,1,1,0,3,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,0,false
C:\Codes\lab02-experimentacao-grupo04\..\lab02-experimentacao-grupo04\nb-resource-hyperlink-at-cursor\src\main\java\de\markiewb\netbeans\plugins\resourcehyperlink\ResultTO.java,de.markiewb.netbeans.plugins.resourcehyperlink.ResultTO,"ResultTO/4[int,int,java.lang.String,java.util.Collection<de.markiewb.netbeans.plugins.resourcehyperlink.FileObject>]",true,43,1,3,3,0,1,0,6,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,10,0,0,false
C:\Codes\lab02-experimentacao-grupo04\..\lab02-experimentacao-grupo04\nb-resource-hyperlink-at-cursor\src\main\java\de\markiewb\netbeans\plugins\resourcehyperlink\ResultTO.java,de.markiewb.netbeans.plugins.resourcehyperlink.ResultTO,createEmpty/0,false,32,1,2,1,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,7,8,0,false
C:\Codes\lab02-experimentacao-grupo04\..\lab02-experimentacao-grupo04\nb-resource-hyperlink-at-cursor\src\main\java\de\markiewb\netbeans\plugins\resourcehyperlink\ResultTO.java,de.markiewb.netbeans.plugins.resourcehyperlink.ResultTO,"createEmpty/2[int,int]",false,29,1,2,1,1,1,1,3,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,0,false
C:\Codes\lab02-experimentacao-grupo04\..\lab02-experimentacao-grupo04\nb-resource-hyperlink-at-cursor\src\main\java\de\markiewb\netbeans\plugins\resourcehyperlink\options\ConfigPanel.java,de.markiewb.netbeans.plugins.resourcehyperlink.options.ConfigPanel,initComponents/0,false,46,1,1,1,0,1,16,10,0,1,0,16,0,0,0,0,0,0,2,4,3,0,0,0,0,0,30,2,0,true
C:\Codes\lab02-experimentacao-grupo04\..\lab02-experimentacao-grupo04\nb-resource-hyperlink-at-cursor\src\main\java\de\markiewb\netbeans\plugins\resourcehyperlink\options\ConfigPanel.java,de.markiewb.netbeans.plugins.resourcehyperlink.options.ConfigPanel,valid/0,false,91,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,false
C:\Codes\lab02-experimentacao-grupo04\..\lab02-experimentacao-grupo04\nb-resource-hyperlink-at-cursor\src\main\java\de\markiewb\netbeans\plugins\resourcehyperlink\options\ConfigPanel.java,de.markiewb.netbeans.plugins.resourcehyperlink.options.ConfigPanel,load/0,false,79,1,1,1,0,1,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,false
C:\Codes\lab02-experimentacao-grupo04\..\lab02-experimentacao-grupo04\nb-resource-hyperlink-at-cursor\src\main\java\de\markiewb\netbeans\plugins\resourcehyperlink\options\ConfigPanel.java,de.markiewb.netbeans.plugins.resourcehyperlink.options.ConfigPanel,store/0,false,83,1,1,1,0,2,4,8,0,0,0,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,17,0,0,false
